City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Tadine,NC,2020-09-04 04:58:02,-21.55,167.88,68.76,65,40,19.39
132,Yumen,CN,2020-09-04 04:58:02,40.28,97.2,85.87,12,52,10.6
133,Manoel Urbano,BR,2020-09-04 04:58:03,-8.84,-69.26,74.43,78,47,1.32
134,Pacific Grove,US,2020-09-04 04:58:03,36.62,-121.92,61.0,93,1,1.99
135,Grand Gaube,MU,2020-09-04 04:58:04,-20.01,57.66,73.0,57,0,5.99
136,Parkersburg,US,2020-09-04 04:58:04,39.27,-81.56,73.4,88,1,6.93
137,Kijang,KR,2020-09-04 04:53:40,35.24,129.21,84.2,48,20,6.93
138,New Norfolk,AU,2020-09-04 04:58:04,-42.78,147.06,61.0,59,60,7.0
139,Katherine,AU,2020-09-04 04:58:05,-14.47,132.27,98.6,16,0,13.87
140,Santarem,BR,2020-09-04 04:58:06,-2.44,-54.71,75.2,100,48,2.84
141,Pitsunda,GE,2020-09-04 04:58:06,43.16,40.34,77.0,50,17,2.24
142,Kishi,NG,2020-09-04 04:58:06,9.08,3.85,70.18,95,89,5.66
143,Sarakhs,IR,2020-09-04 04:58:06,36.54,61.16,80.6,32,0,8.08
144,Ancud,CL,2020-09-04 04:53:41,-41.87,-73.82,42.01,89,32,3.4
145,Niort,FR,2020-09-04 04:58:07,46.33,-0.33,53.01,87,0,5.21
146,Cockburn Town,TC,2020-09-04 04:58:07,21.46,-71.14,82.6,80,59,19.44
147,Springbok,ZA,2020-09-04 04:58:07,-29.66,17.89,43.2,56,20,2.44
148,Mamontovo,RU,2020-09-04 04:58:07,52.71,81.62,58.33,44,14,12.57
149,San Patricio,MX,2020-09-04 04:58:08,19.22,-104.7,79.83,87,97,5.32
150,Lavrentiya,RU,2020-09-04 04:58:08,65.58,-171.0,40.57,82,100,5.55
151,Shirgaon,IN,2020-09-04 04:57:20,19.7,72.7,86.0,74,40,4.7
152,Iqaluit,CA,2020-09-04 04:56:07,63.75,-68.51,37.4,74,40,2.24
153,Carnarvon,AU,2020-09-04 04:58:09,-24.87,113.63,71.6,64,0,16.11
154,Skibbereen,IE,2020-09-04 04:58:09,51.55,-9.27,51.8,93,97,5.82
155,Dikson,RU,2020-09-04 04:58:09,73.51,80.55,39.63,83,53,7.92
156,Chuy,UY,2020-09-04 04:58:09,-33.7,-53.46,44.51,92,18,3.69
157,Clyde River,CA,2020-09-04 04:57:50,70.47,-68.59,39.2,93,90,3.36
158,Georgetown,MY,2020-09-04 04:57:01,5.41,100.34,84.2,74,40,9.17
159,Kruisfontein,ZA,2020-09-04 04:58:10,-34.0,24.73,56.89,47,47,10.58
160,Asau,RO,2020-09-04 04:58:11,46.43,26.4,59.0,97,99,3.83
161,Chumikan,RU,2020-09-04 04:55:51,54.72,135.31,53.24,93,100,30.87
162,Goderich,CA,2020-09-04 04:58:11,43.75,-81.72,68.0,52,18,1.99
163,Mansa,IN,2020-09-04 04:58:12,29.98,75.38,91.71,54,0,8.52
164,Quatre Cocos,MU,2020-09-04 04:58:12,-20.21,57.76,73.0,73,75,14.99
165,Carmen,MX,2020-09-04 04:58:12,18.63,-91.83,79.3,85,100,10.96
166,Kurilsk,RU,2020-09-04 04:58:13,45.23,147.88,65.52,78,7,2.08
167,Ahipara,NZ,2020-09-04 04:58:13,-35.17,173.17,55.56,65,1,8.39
168,Birin,NP,2020-09-04 04:58:13,26.89,88.07,86.0,79,75,2.24
169,Lake Havasu City,US,2020-09-04 04:58:14,34.48,-114.32,100.4,14,1,8.05
170,Istok,XK,2020-09-04 04:58:14,42.78,20.49,55.4,76,20,2.24
171,Kyra,RU,2020-09-04 04:58:14,49.58,111.98,66.27,53,36,9.46
172,Renton,US,2020-09-04 04:58:14,47.48,-122.22,71.6,53,40,9.17
173,Norman Wells,CA,2020-09-04 04:55:31,65.28,-126.83,51.8,81,75,5.82
174,Kodiak,US,2020-09-04 04:58:15,57.79,-152.41,51.8,71,1,3.27
175,Vila Franca Do Campo,PT,2020-09-04 04:58:15,37.72,-25.43,69.8,83,20,5.82
176,General Roca,AR,2020-09-04 04:58:15,-39.03,-67.58,44.6,52,0,4.7
177,Oil City,US,2020-09-04 04:58:16,41.43,-79.71,69.01,93,1,8.05
178,Meiringen,CH,2020-09-04 04:58:16,46.73,8.18,51.0,100,59,1.12
179,Ponta Delgada,PT,2020-09-04 04:58:16,37.73,-25.67,69.8,83,20,5.82
180,Korla,CN,2020-09-04 04:58:17,41.76,86.15,85.96,22,96,8.59
181,Porto Novo,BJ,2020-09-04 04:54:10,6.5,2.6,74.62,89,100,5.93
182,Itarema,BR,2020-09-04 04:58:17,-2.92,-39.92,77.16,80,5,17.34
183,Shakawe,BW,2020-09-04 04:58:17,-18.37,21.85,60.98,50,0,5.28
184,Kaitangata,NZ,2020-09-04 04:58:18,-46.28,169.85,59.0,50,100,5.99
185,Tura,IN,2020-09-04 04:58:18,25.52,90.22,87.78,64,13,3.29
186,Sitka,US,2020-09-04 04:56:05,57.05,-135.33,53.6,93,90,4.7
187,Faanui,PF,2020-09-04 04:53:28,-16.48,-151.75,77.88,79,16,19.86
188,Udachnyy,RU,2020-09-04 04:58:19,66.42,112.4,51.8,66,75,6.71
189,Sulechow,PL,2020-09-04 04:58:19,52.08,15.63,59.0,100,75,6.93
190,Half Moon Bay,US,2020-09-04 04:58:19,37.46,-122.43,62.6,93,75,6.46
191,Khani,GE,2020-09-04 04:58:19,41.96,42.96,82.4,54,0,19.46
192,Fort Pierce,US,2020-09-04 04:57:24,27.45,-80.33,84.99,94,1,7.07
193,Kaeo,NZ,2020-09-04 04:58:20,-35.1,173.78,57.0,21,0,8.01
194,Mackay,AU,2020-09-04 04:58:20,-21.15,149.2,75.2,69,40,17.22
195,Hobart,AU,2020-09-04 04:54:08,-42.88,147.33,61.0,33,40,20.8
196,Necochea,AR,2020-09-04 04:54:57,-38.55,-58.74,48.99,86,75,17.0
197,Owando,CG,2020-09-04 04:58:21,-0.48,15.9,70.23,97,78,2.64
198,Labrea,BR,2020-09-04 04:58:21,-7.26,-64.8,79.34,60,47,1.83
199,Talcahuano,CL,2020-09-04 04:58:22,-36.72,-73.12,42.8,93,100,4.7
200,Hilo,US,2020-09-04 04:58:22,19.73,-155.09,75.2,83,90,8.05
201,Banyumas,ID,2020-09-04 04:58:22,-7.51,109.29,89.06,58,69,6.64
202,Vestmannaeyjar,IS,2020-09-04 04:58:22,63.44,-20.27,44.55,75,29,31.9
203,Vignola,IT,2020-09-04 04:58:23,44.48,11.0,63.0,87,5,4.7
204,Bakel,SN,2020-09-04 04:58:23,14.9,-12.46,75.33,87,44,11.36
205,Hohhot,CN,2020-09-04 04:58:23,40.81,111.65,68.0,45,8,4.47
206,Pemangkat,ID,2020-09-04 04:58:24,1.17,108.97,79.57,81,100,2.8
207,Melito Di Porto Salvo,IT,2020-09-04 04:58:24,37.92,15.77,73.99,73,0,5.82
208,Airai,TL,2020-09-04 04:58:24,-8.93,125.41,79.38,42,14,6.71
209,Lorca,ES,2020-09-04 04:58:25,37.67,-1.7,68.0,67,0,5.01
210,Tiksi,RU,2020-09-04 04:58:25,71.69,128.87,50.29,64,17,6.53
211,Salalah,OM,2020-09-04 04:58:25,17.02,54.09,80.6,83,75,5.82
212,Rocha,UY,2020-09-04 04:58:26,-34.48,-54.33,42.13,92,42,4.79
213,Sorland,NO,2020-09-04 04:56:05,67.67,12.69,55.4,76,14,5.82
214,Osoyoos,CA,2020-09-04 04:58:26,49.03,-119.45,78.8,52,5,9.17
215,Hokitika,NZ,2020-09-04 04:58:26,-42.72,170.97,52.38,77,99,4.0
216,Baisha,CN,2020-09-04 04:58:27,26.52,110.93,81.61,62,90,3.58
217,Zhucheng,CN,2020-09-04 04:58:27,35.99,119.4,81.84,47,10,7.02
218,Nouadhibou,MR,2020-09-04 04:58:27,20.93,-17.03,77.0,83,22,12.75
219,Manokwari,ID,2020-09-04 04:58:27,-0.87,134.08,85.48,62,66,4.65
220,Isangel,VU,2020-09-04 04:56:53,-19.55,169.27,75.2,57,90,9.17
221,Bambous Virieux,MU,2020-09-04 04:58:28,-20.34,57.76,73.0,73,75,14.99
222,Pingxiang,CN,2020-09-04 04:58:28,27.62,113.85,68.56,92,100,3.15
223,Luderitz,NA,2020-09-04 04:58:28,-26.65,15.16,51.62,84,0,0.54
224,Meulaboh,ID,2020-09-04 04:58:29,4.14,96.13,84.7,65,58,2.68
225,Los Llanos De Aridane,ES,2020-09-04 04:56:34,28.66,-17.92,71.6,73,20,6.93
226,Husavik,IS,2020-09-04 04:57:08,66.04,-17.34,41.0,80,90,20.8
227,Severo-Kurilsk,RU,2020-09-04 04:55:12,50.68,156.12,53.17,82,98,14.03
228,Dunedin,NZ,2020-09-04 04:58:29,-45.87,170.5,54.0,58,100,4.0
229,Cordoba,AR,2020-09-04 04:57:12,-31.41,-64.18,48.99,93,11,8.05
230,Sherpur,BD,2020-09-04 04:58:30,25.02,90.02,89.89,63,25,3.85
231,Catia La Mar,VE,2020-09-04 04:58:30,10.6,-67.03,69.01,69,95,2.24
232,Zhigansk,RU,2020-09-04 04:58:30,66.77,123.37,60.21,55,34,13.85
233,Iwanai,JP,2020-09-04 04:58:31,42.97,140.51,81.25,85,100,2.86
234,Kalaleh,IR,2020-09-04 04:58:31,37.38,55.49,80.6,57,0,5.68
235,Challans,FR,2020-09-04 04:58:31,46.84,-1.87,55.0,100,90,3.36
236,Sao Filipe,CV,2020-09-04 04:58:31,14.9,-24.5,80.17,80,87,5.44
237,Dingle,PH,2020-09-04 04:58:32,11.0,122.67,88.83,66,94,4.41
